Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S40578545,Great Horned Owl,Bubo virginianus,7254,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Snowy Owl,Bubo scandiacus,7314,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Barred Owl,Strix varia,7526,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Short-eared Owl,Asio flammeus,7571,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Northern Saw-whet Owl,Aegolius acadicus,7602,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Belted Kingfisher,Megaceryle alcyon,9932,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Red-bellied Woodpecker,Melanerpes carolinus,10925,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Downy Woodpecker,Picoides pubescens,11148,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Hairy Woodpecker,Picoides villosus,11164,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Downy/Hairy Woodpecker,Picoides pubescens/villosus,11179,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Northern Flicker,Colaptes auratus,11308,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,woodpecker sp.,Picidae sp.,11579.6,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Merlin,Falco columbarius,11582.15,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Peregrine Falcon,Falco peregrinus,11582.61,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,falcon sp.,Falco sp.,11582.88,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Blue Jay,Cyanocitta cristata,18831,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,American Crow,Corvus brachyrhynchos,19073,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Fish Crow,Corvus ossifragus,19087,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,crow sp.,Corvus sp. (crow sp.),19119,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Common Raven,Corvus corax,19134,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Horned Lark,Eremophila alpestris,19870,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Black-capped Chickadee,Poecile atricapillus,20246,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Tufted Titmouse,Baeolophus bicolor,20484,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Red-breasted Nuthatch,Sitta canadensis,20757,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,White-breasted Nuthatch,Sitta carolinensis,20761,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Brown Creeper,Certhia americana,20846,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
S40578545,Carolina Wren,Thryothorus ludovicianus,21319,X,US-MA,Essex,Essex,42.65736,-70.92672,01-27-2017,,eBird - Casual Observation,,0,,,,,,Baseline list for eBird alerts purposes.
